as_of,coin,dex,market_class,requested_bars,received_bars,first_bar,last_bar,max_gap_seconds,coverage_ok,error,l2_half_spread_bps
2026-09-15T06:24:48.693436+00:00,xyz:CL,xyz,commodity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.05
2026-09-15T06:24:48.693436+00:00,xyz:XYZ100,xyz,index,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.17
2026-09-15T06:24:48.693436+00:00,xyz:SKHX,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.40
2026-09-15T06:24:48.693436+00:00,xyz:SP500,xyz,index,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.07
2026-09-15T06:24:48.693436+00:00,xyz:BRENTOIL,xyz,commodity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.49
2026-09-15T06:24:48.693436+00:00,xyz:SNDK,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.32
2026-09-15T06:24:48.693436+00:00,xyz:MU,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.38
2026-09-15T06:24:48.693436+00:00,xyz:CRCL,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.86
2026-09-15T06:24:48.693436+00:00,xyz:SPCX,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.34
2026-09-15T06:24:48.693436+00:00,xyz:SILVER,xyz,commodity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.08
2026-09-15T06:24:48.693436+00:00,xyz:SKHY,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.57
2026-09-15T06:24:48.693436+00:00,xyz:GOLD,xyz,commodity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.12
2026-09-15T06:24:48.693436+00:00,xyz:NVDA,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.47
2026-09-15T06:24:48.693436+00:00,xyz:DRAM,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.09
2026-09-15T06:24:48.693436+00:00,xyz:SMSN,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.55
2026-09-15T06:24:48.693436+00:00,xyz:SOXL,xyz,equity,1000,950,2026-08-06T17:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.98
2026-09-15T06:24:48.693436+00:00,xyz:GOOGL,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.14
2026-09-15T06:24:48.693436+00:00,xyz:INTC,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.05
2026-09-15T06:24:48.693436+00:00,xyz:EWY,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.84
2026-09-15T06:24:48.693436+00:00,xyz:META,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.15
2026-09-15T06:24:48.693436+00:00,xyz:HOOD,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.89
2026-09-15T06:24:48.693436+00:00,xyz:COIN,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,1.08
2026-09-15T06:24:48.693436+00:00,xyz:TSLA,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,0.28
2026-09-15T06:24:48.693436+00:00,xyz:NBIS,xyz,equity,1000,1000,2026-08-04T15:00:00+00:00,2026-09-15T06:00:00+00:00,3600,True,,1.41
2026-09-15T06:24:48.693436+00:00,io:SNDK,io,equity,1000,641,2026-08-19T14:00:00+00:00,2026-09-15T06:00:00+00:00,3600,False,insufficient_or_gapped_history,0.32
