slice_id,kind,feature,state,side,status,validated_at,last_signal_bar,paper_trades,paper_wins,paper_losses,paper_pnl_zar,cooldown_until,mean_ret_costadj,n,p_value,horizon_bars,stop_atr_mult,source,hostile_unproven,edge_is_directional_net,n_green,green_frac
hip3_xyz_commodity_c0:feat_vol_regime:1:LONG:h23,PERP,feat_vol_regime,1,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.004443,1431,0.002571,23,3.500,validated_walk_forward,False,True,5,0.833
hip3_xyz_commodity_c0:feat_ext_vs_ma_50:2:LONG:h20,PERP,feat_ext_vs_ma_50,2,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002334,1508,0.068230,20,3.500,validated_walk_forward,True,True,4,0.667
hip3_xyz_equity_c0:feat_ret_20:0:LONG:h24,PERP,feat_ret_20,0,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002413,9451,0.113732,24,3.500,validated_walk_forward,False,True,23,0.590
hip3_xyz_commodity_c0:feat_ret_20:2:LONG:h24,PERP,feat_ret_20,2,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002608,1616,0.074000,24,3.500,validated_walk_forward,False,True,4,0.667
hip3_xyz_commodity_c0:feat_ext_vs_ma_20:0:LONG:h22,PERP,feat_ext_vs_ma_20,0,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002149,1274,0.291588,22,3.500,validated_walk_forward,False,True,3,0.500
hip3_xyz_equity_c0:feat_trend_strength_20:1:LONG:h24,PERP,feat_trend_strength_20,1,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002326,10102,0.002354,24,3.500,validated_walk_forward,False,True,15,0.385
hip3_xyz_commodity_c0:feat_trend_slope_20:2:LONG:h24,PERP,feat_trend_slope_20,2,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002180,1618,0.108451,24,3.500,validated_walk_forward,False,True,4,0.667
hip3_xyz_equity_c0:feat_realized_vol_20:2:LONG:h17,PERP,feat_realized_vol_20,2,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.004610,5765,0.027496,17,3.500,validated_walk_forward,False,True,18,0.462
hip3_xyz_equity_c0:feat_atr_norm_ext:1:LONG:h16,PERP,feat_atr_norm_ext,1,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002301,10364,0.003642,16,3.500,validated_walk_forward,False,True,23,0.590
hip3_xyz_equity_c0:feat_ext_vs_ma_50:0:LONG:h24,PERP,feat_ext_vs_ma_50,0,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002721,9313,0.043589,24,3.500,validated_walk_forward,False,True,22,0.564
hip3_xyz_equity_c0:feat_trend_strength_20:0:LONG:h23,PERP,feat_trend_strength_20,0,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002748,9892,0.003058,23,3.500,validated_walk_forward,False,True,20,0.513
hip3_xyz_equity_c0:feat_vol_regime:0:LONG:h17,PERP,feat_vol_regime,0,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.001085,9910,0.185041,17,3.500,validated_walk_forward,False,True,15,0.385
hip3_xyz_equity_c0:feat_trend_slope_20:0:LONG:h24,PERP,feat_trend_slope_20,0,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002792,9522,0.032022,24,3.500,validated_walk_forward,False,True,25,0.641
hip3_xyz_equity_c0:feat_vol_regime:2:SHORT:h19,PERP,feat_vol_regime,2,SHORT,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.000461,8634,0.485767,19,3.500,validated_walk_forward,False,True,16,0.410
hip3_xyz_equity_c0:feat_ret_3:0:LONG:h20,PERP,feat_ret_3,0,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002046,9508,0.009175,20,3.500,validated_walk_forward,False,True,20,0.513
hip3_xyz_equity_c0:feat_ret_5:0:LONG:h20,PERP,feat_ret_5,0,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.001754,9465,0.035932,20,3.500,validated_walk_forward,False,True,23,0.590
hip3_xyz_equity_c0:feat_atr_norm_ext:0:LONG:h24,PERP,feat_atr_norm_ext,0,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.001797,10060,0.076789,24,3.500,validated_walk_forward,False,True,24,0.615
hip3_xyz_equity_c0:feat_ext_vs_ma_10:0:LONG:h24,PERP,feat_ext_vs_ma_10,0,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.001821,9433,0.085640,24,3.500,validated_walk_forward,False,True,24,0.615
hip3_xyz_equity_c0:feat_ret_10:0:LONG:h24,PERP,feat_ret_10,0,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002208,9536,0.032378,24,3.500,validated_walk_forward,False,True,26,0.667
hip3_xyz_equity_c0:feat_ret_1:2:LONG:h23,PERP,feat_ret_1,2,LONG,monitored,2026-09-04T02:01:53.737619+00:00,,0,0,0,0,,0.002320,9111,0.002473,23,3.500,validated_walk_forward,False,True,22,0.564
