slice_id,kind,feature,state,side,folds,walk_forward_pass_pattern,walk_forward_pass_count,fold_mean_rets,fold_sizes,n,mean_ret_costadj,p_value,validated,required_passes,latest_fold_passes,temporal_pass,direction_ok,breadth_ok,breadth_symbols_used,breadth_positive_fraction,recency_ok,mean_positive,side_train,fail_reasons,horizon_bars,stop_atr_mult,hostile_n,hostile_mean_ret,regime_confounded,hostile_unproven,session_asia_n,session_asia_mean_ret_costadj,session_asia_hit_rate,session_eu_n,session_eu_mean_ret_costadj,session_eu_hit_rate,session_us_n,session_us_mean_ret_costadj,session_us_hit_rate
hip3_hyna_index_c235:feat_ret_3:2:LONG:h1,PERP,feat_ret_3,2,LONG,5,00001,1,"-0.000316,-0.001366,-0.001126,-0.002686,0.002375","42,25,18,9,68",163,0.00041626338197683015,0.2715023459726402,False,2,True,False,False,False,1,1.0,True,True,SHORT,"temporal_pass,direction_ok,breadth_ok",1,3.2264491955036316,19,-0.0010714395110212266,False,True,44,0.0006819378233059577,0.18181818181818182,66,0.0005962002749088991,0.15151515151515152,53,-2.8368888815587482e-05,0.16981132075471697
hip3_hyna_index_c235:feat_realized_vol_20:2:LONG:h1,PERP,feat_realized_vol_20,2,LONG,5,00001,1,"-0.001062,-0.000415,-0.000977,-0.000496,0.001296","76,32,12,31,134",287,0.00017606002958121868,0.14763999538693118,False,2,True,False,False,False,1,1.0,True,True,SHORT,"temporal_pass,direction_ok,breadth_ok,regime_confounded",1,3.029704477611941,48,-0.00013361284208618038,True,False,95,0.000551186205448802,0.17894736842105263,95,0.00022421335878819066,0.16842105263157894,97,-0.00023849206301757223,0.12371134020618557
hip3_hyna_index_c235:feat_vol_regime:2:LONG:h1,PERP,feat_vol_regime,2,LONG,5,10001,2,"0.000251,-0.000717,-0.001376,-0.000658,0.002583","32,35,51,46,60",226,0.00015689588386828793,0.19702060523844356,False,2,True,True,True,False,1,1.0,True,True,LONG,"breadth_ok,regime_confounded",1,2.3596789523708988,50,-0.000594860716679593,True,False,71,0.0003938440680420539,0.14084507042253522,77,-0.00031965080179754426,0.11688311688311688,78,0.00041164939309818165,0.11538461538461539
hip3_hyna_index_c235:feat_ext_vs_ma_50:2:LONG:h1,PERP,feat_ext_vs_ma_50,2,LONG,5,00001,1,"-0.000502,-0.000723,-0.001055,-0.002233,0.001451","44,43,43,15,114",260,0.00012431121466446347,0.1854197510201978,False,2,True,False,False,False,1,1.0,True,True,SHORT,"temporal_pass,direction_ok,breadth_ok",1,3.148467621776502,0,0.0,False,True,86,-0.0007103017343950934,0.12790697674418605,76,0.0011062398836031717,0.18421052631578946,98,9.523095731528062e-05,0.12244897959183673
hip3_hyna_index_c235:feat_ext_vs_ma_10:2:LONG:h1,PERP,feat_ext_vs_ma_10,2,LONG,5,00001,1,"-0.000871,-0.000591,-0.001123,-0.001596,0.001590","51,57,36,27,100",272,-6.174680071020666e-06,0.188411888460843,False,2,True,False,False,False,1,0.0,True,False,SHORT,"temporal_pass,direction_ok,breadth_ok,regime_confounded,mean_net<=0",1,3.5,33,-0.0008052898382867453,True,False,82,6.758006428221083e-05,0.10975609756097561,93,8.161749634956922e-05,0.13978494623655913,97,-0.00015269593207184427,0.12371134020618557
hip3_hyna_index_c235:feat_atr_norm_ext:2:LONG:h1,PERP,feat_atr_norm_ext,2,LONG,5,00001,1,"-0.000477,-0.000612,-0.001097,-0.000596,0.002467","38,64,47,51,56",258,-1.238138907612467e-05,0.21837555643311668,False,2,True,False,True,False,1,0.0,True,False,LONG,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,2.9556611640935717,26,-0.0001770268180378242,True,False,83,0.00016228420982454257,0.12048192771084337,77,-0.0002825410627099181,0.12987012987012986,98,5.195585746516881e-05,0.11224489795918367
hip3_hyna_index_c235:feat_trend_strength_20:2:LONG:h1,PERP,feat_trend_strength_20,2,LONG,5,00001,1,"-0.001058,-0.000717,-0.001050,-0.000553,0.003266","84,63,66,50,70",335,-1.3256960050906896e-05,0.1406006174652843,False,2,True,False,False,False,1,0.0,True,False,SHORT,"temporal_pass,direction_ok,breadth_ok,regime_confounded,mean_net<=0",1,2.292515669239895,78,-0.0005251890940329347,True,False,122,0.00015864041514694336,0.11475409836065574,100,-0.0004226769572966605,0.11,113,0.00016347330499721395,0.11504424778761062
hip3_hyna_index_c235:feat_trend_slope_20:2:LONG:h1,PERP,feat_trend_slope_20,2,LONG,5,00001,1,"-0.000560,-0.001017,-0.000899,-0.001008,0.001451","39,60,53,30,108",290,-1.412334259039909e-05,0.16047461520761486,False,2,True,False,False,False,1,0.0,True,False,SHORT,"temporal_pass,direction_ok,breadth_ok,regime_confounded,mean_net<=0",1,2.321323744311309,28,-0.0002556752966109947,True,False,100,-0.0003253826652669484,0.11,83,0.00013136158240442512,0.14457831325301204,107,0.00016392042837300814,0.09345794392523364
hip3_hyna_index_c235:feat_ret_20:2:LONG:h1,PERP,feat_ret_20,2,LONG,5,00001,1,"-0.000070,-0.001056,-0.000890,-0.001600,0.001579","42,62,57,33,103",297,-3.124787854975839e-05,0.1897371329818638,False,2,True,False,False,False,1,0.0,True,False,SHORT,"temporal_pass,direction_ok,breadth_ok,mean_net<=0",1,3.442168099331428,30,0.0005917990739116232,False,False,111,-0.00035780057093335135,0.10810810810810811,84,7.578217176033707e-05,0.14285714285714285,102,0.0002359758923181907,0.10784313725490197
hip3_hyna_index_c235:feat_ext_vs_ma_20:2:LONG:h1,PERP,feat_ext_vs_ma_20,2,LONG,5,00001,1,"-0.000162,-0.000653,-0.001130,-0.000972,0.000995","50,61,42,32,116",303,-4.898565650221587e-05,0.20254969973253556,False,2,True,False,True,False,1,0.0,True,False,LONG,"temporal_pass,breadth_ok,mean_net<=0",1,2.8029457973291434,27,0.0003937027804242519,False,False,94,0.0007592723784502495,0.13829787234042554,89,-0.0006649769166014637,0.11235955056179775,120,-0.00022526093264137105,0.1
hip3_hyna_index_c235:feat_ret_1:2:LONG:h1,PERP,feat_ret_1,2,LONG,5,00001,1,"-0.000948,-0.001740,-0.001008,-0.002474,0.001181","21,9,7,3,35",76,-0.00013763562863065997,0.5649598567865308,False,2,True,False,False,False,1,0.0,True,False,SHORT,"temporal_pass,direction_ok,breadth_ok,mean_net<=0",1,2.791928515318144,9,-0.00014968716280580615,False,True,23,-0.0033985584645077694,0.13043478260869565,27,0.0008593633143955665,0.18518518518518517,26,0.0017116818238103173,0.23076923076923078
