slice_id,kind,feature,state,side,n,mean_ret_costadj,median_ret_costadj,hit_rate,t_stat,p_value,bonferroni_pass,horizon_bars,session_asia_n,session_asia_mean_ret_costadj,session_asia_hit_rate,session_eu_n,session_eu_mean_ret_costadj,session_eu_hit_rate,session_us_n,session_us_mean_ret_costadj,session_us_hit_rate
feat_ext_vs_ma_10:0:LONG:h1,SPOT,feat_ext_vs_ma_10,0,LONG,5312,-0.0011278897431684061,-0.001899789300451711,0.32718373493975905,-15.797149986274388,0.0,False,1,1791,-0.0014168767401226657,0.2897822445561139,1798,-0.0009218295985541142,0.3631813125695217,1723,-0.001042527252437947,0.3284968078932095
feat_ret_3:0:LONG:h1,SPOT,feat_ret_3,0,LONG,5938,-0.0011986415622696912,-0.0019614366377061496,0.3221623442236443,-17.281870931971877,0.0,False,1,1932,-0.0014177465890598934,0.28467908902691513,2039,-0.0010716945549874874,0.358018636586562,1967,-0.001115028972584762,0.3218098627351296
feat_ret_1:2:SHORT:h1,SPOT,feat_ret_1,2,SHORT,6365,-0.0012071858000662619,-0.0017159494390001986,0.3267871170463472,-16.386608314971436,0.0,False,1,1928,-0.0009469926465863876,0.3355809128630705,2418,-0.001483562645795634,0.3304383788254756,2019,-0.0011246564226197915,0.3140168400198118
feat_ext_vs_ma_10:2:SHORT:h1,SPOT,feat_ext_vs_ma_10,2,SHORT,4729,-0.0012425688189972226,-0.0017697225834417546,0.3264960879678579,-13.909446605433528,0.0,False,1,1364,-0.0012896228496237408,0.3225806451612903,1692,-0.0015141356428508852,0.33274231678487,1673,-0.0009295546147324483,0.3233711894799761
feat_ret_3:2:SHORT:h1,SPOT,feat_ret_3,2,SHORT,5442,-0.0012799327185558317,-0.001828503324650383,0.3199191473722896,-15.940804520222155,0.0,False,1,1639,-0.0015473207038040606,0.2953020134228188,1977,-0.0014883881623086674,0.3262518968133536,1826,-0.0008142342957074181,0.33515881708652795
feat_ext_vs_ma_20:0:LONG:h1,SPOT,feat_ext_vs_ma_20,0,LONG,5330,-0.0012879533982956125,-0.002,0.2954971857410882,-18.847266665193345,0.0,False,1,1697,-0.0014161292159060848,0.25987035945786685,1838,-0.001060256406554754,0.3438520130576714,1795,-0.0013999270519639841,0.2796657381615599
feat_ret_5:0:LONG:h1,SPOT,feat_ret_5,0,LONG,5550,-0.001310040469902556,-0.002,0.3093693693693694,-18.531204971325042,0.0,False,1,1846,-0.0014547534691151031,0.2746478873239437,1815,-0.0011939582045430838,0.3493112947658402,1889,-0.0012801564651810525,0.304923239809423
feat_ret_1:0:LONG:h1,SPOT,feat_ret_1,0,LONG,7583,-0.0013280077757805311,-0.002,0.29803507846498745,-22.03068402865052,0.0,False,1,2432,-0.001255307315280694,0.2746710526315789,2661,-0.001092716634129571,0.34347989477639984,2490,-0.0016504645018322623,0.27228915662650605
feat_ret_10:0:LONG:h1,SPOT,feat_ret_10,0,LONG,5296,-0.00139340511310383,-0.002,0.29286253776435045,-20.224376469577393,0.0,False,1,1763,-0.0016262686513390792,0.2688598979013046,1714,-0.0010645230626413643,0.3308051341890315,1819,-0.0014776082008355082,0.2803738317757009
feat_atr_norm_ext:0:LONG:h1,SPOT,feat_atr_norm_ext,0,LONG,4393,-0.0014007686222126034,-0.002,0.2579103118597769,-22.39823034144937,0.0,False,1,1492,-0.001491620583069197,0.22184986595174264,1660,-0.0012354778924397608,0.2927710843373494,1241,-0.0015126392796057395,0.25463336019339244
feat_ret_10:2:SHORT:h1,SPOT,feat_ret_10,2,SHORT,4373,-0.0014614348825750499,-0.002,0.30276697919048706,-15.858850766408251,0.0,False,1,1167,-0.0012679546894921664,0.32047986289631536,1454,-0.0016789805776035967,0.30880330123796423,1752,-0.001409768184376544,0.285958904109589
feat_ret_5:2:SHORT:h1,SPOT,feat_ret_5,2,SHORT,4889,-0.0014659762440171471,-0.001915912212349693,0.31253835140110453,-16.528723122534736,0.0,False,1,1458,-0.0014239528980521793,0.31069958847736623,1743,-0.0017842425397788003,0.3218588640275387,1688,-0.0011736373132732855,0.30450236966824645
feat_ext_vs_ma_20:2:SHORT:h1,SPOT,feat_ext_vs_ma_20,2,SHORT,4482,-0.001492937271832502,-0.002,0.30968317715305665,-15.96251820873996,0.0,False,1,1302,-0.0015864921984675635,0.31259600614439326,1526,-0.001587241995082225,0.3289646133682831,1654,-0.0013322858074081205,0.28960096735187424
feat_ext_vs_ma_50:2:SHORT:h1,SPOT,feat_ext_vs_ma_50,2,SHORT,3817,-0.0015267665241665619,-0.002,0.2973539428870841,-14.602215327190931,0.0,False,1,1182,-0.0015655800061789094,0.2918781725888325,1243,-0.0015072997654202972,0.32260659694288013,1392,-0.0015111915567692998,0.27945402298850575
feat_ret_20:0:LONG:h1,SPOT,feat_ret_20,0,LONG,5446,-0.0015752510919604696,-0.002,0.26423062798384134,-23.612909123512594,0.0,False,1,1780,-0.0015664930844285464,0.23370786516853934,1849,-0.001426253257149684,0.30773391022174146,1817,-0.0017354526604645788,0.24986241056686848
feat_ext_vs_ma_50:0:LONG:h1,SPOT,feat_ext_vs_ma_50,0,LONG,5332,-0.0015908062644000266,-0.002,0.2614403600900225,-24.64714712591104,0.0,False,1,1812,-0.001599926921126992,0.23399558498896247,1707,-0.0014821114775770573,0.30404217926186294,1813,-0.0016840304073220053,0.24875896304467732
feat_atr_norm_ext:2:SHORT:h1,SPOT,feat_atr_norm_ext,2,SHORT,3151,-0.0016225215750082698,-0.002,0.2462710250714059,-17.232451240403822,0.0,False,1,968,-0.001491667633120404,0.22417355371900827,1193,-0.0017257058933470102,0.2707460184409053,990,-0.0016261253365934582,0.2383838383838384
feat_trend_slope_20:0:LONG:h1,SPOT,feat_trend_slope_20,0,LONG,5218,-0.0016643306213106166,-0.002,0.2529704867765427,-23.858746526392284,0.0,False,1,1698,-0.0015755083546815094,0.2332155477031802,1752,-0.0013143794996073534,0.3144977168949772,1768,-0.0020964203124646556,0.21097285067873303
feat_ret_20:2:SHORT:h1,SPOT,feat_ret_20,2,SHORT,4359,-0.0016721529195174965,-0.002,0.2819454003211746,-17.985818295227094,0.0,False,1,1462,-0.0017301889623596686,0.2763337893296854,1375,-0.0016960386029656722,0.30472727272727274,1522,-0.001594826040820718,0.266754270696452
feat_trend_strength_20:2:LONG:h1,SPOT,feat_trend_strength_20,2,LONG,4801,-0.0017125490615456965,-0.002,0.23120183295146846,-23.611731322977263,0.0,False,1,1463,-0.001539886134606074,0.21462747778537253,1633,-0.0016146717938700875,0.28413962033067974,1705,-0.0019544490264881823,0.19472140762463344
feat_vol_regime:2:LONG:h1,SPOT,feat_vol_regime,2,LONG,4979,-0.001805801442242975,-0.002,0.2506527415143603,-22.379600311531654,0.0,False,1,1890,-0.0016521965296312437,0.23862433862433863,1476,-0.0017016627955704804,0.2804878048780488,1613,-0.0020810785205596363,0.23744575325480471
feat_vol_regime:0:SHORT:h1,SPOT,feat_vol_regime,0,SHORT,4518,-0.0018157044770058446,-0.002,0.18725099601593626,-28.84345037574089,0.0,False,1,1278,-0.0013776875011647044,0.20422535211267606,1745,-0.0022279073394991457,0.17593123209169054,1495,-0.001709009962005287,0.18595317725752508
feat_realized_vol_20:2:LONG:h1,SPOT,feat_realized_vol_20,2,LONG,4115,-0.0018491033823534436,-0.002,0.27314702308626976,-18.64259798695749,0.0,False,1,1480,-0.0015432640406838807,0.2682432432432432,1156,-0.0018390091502509885,0.29930795847750863,1479,-0.0021630392565802122,0.25760649087221094
feat_realized_vol_20:0:LONG:h1,SPOT,feat_realized_vol_20,0,LONG,7057,-0.001855057694567122,-0.002,0.1853478815360635,-43.311793565309955,0.0,False,1,2273,-0.0018617514545061949,0.17289925208974924,2513,-0.0016821145837809476,0.22124950258654993,2271,-0.0020397301388930325,0.15808014090708938
feat_trend_slope_20:2:LONG:h1,SPOT,feat_trend_slope_20,2,LONG,4212,-0.001863374071546143,-0.002,0.2492877492877493,-18.575016051318514,0.0,False,1,1439,-0.0018533021017946732,0.23627519110493397,1192,-0.0017286751478100752,0.29194630872483224,1581,-0.0019740980953069013,0.22896900695762176
feat_ret_1:1:LONG:h1,SPOT,feat_ret_1,1,LONG,15109,-0.0018680642602078924,-0.002,0.2100734661460057,-52.67864550421096,0.0,False,1,5357,-0.0018259332533865826,0.20067201792047787,4486,-0.0017997385845906723,0.24453856442264824,5266,-0.0019691285944958923,0.19027725028484618
feat_ret_5:1:SHORT:h1,SPOT,feat_ret_5,1,SHORT,18498,-0.001872670864039082,-0.002,0.210671423937723,-57.59350664977815,0.0,False,1,6413,-0.0018485359440312708,0.19663184157180727,5978,-0.0019774859815582966,0.23703579792572768,6107,-0.001795414022624349,0.19960700835107253
feat_ret_3:1:SHORT:h1,SPOT,feat_ret_3,1,SHORT,17617,-0.0018783736871441936,-0.002,0.2078106374524607,-56.238637399891225,0.0,False,1,6146,-0.0017955635803798063,0.19931662870159453,5520,-0.0020174735370950465,0.2326086956521739,5951,-0.0018348717117526992,0.19358091077129894
feat_ext_vs_ma_50:1:LONG:h1,SPOT,feat_ext_vs_ma_50,1,LONG,18477,-0.001882951050007745,-0.002,0.22471180386426368,-55.354649842910014,0.0,False,1,6243,-0.00187224103414644,0.20583053019381709,6143,-0.0017256843243839796,0.2638775842422269,6091,-0.002052537673637514,0.20456411098341815
feat_ext_vs_ma_10:1:SHORT:h1,SPOT,feat_ext_vs_ma_10,1,SHORT,18785,-0.0018933207762692843,-0.002,0.21096619643332445,-57.84136969284813,0.0,False,1,6562,-0.0018689437947516283,0.19765315452605914,6046,-0.0019764164247017364,0.23817399933840555,6177,-0.0018378837457198672,0.19847822567589446
feat_realized_vol_20:1:LONG:h1,SPOT,feat_realized_vol_20,1,LONG,17315,-0.001894358898921755,-0.002,0.23973433439214553,-48.47835386550827,0.0,False,1,5724,-0.0019127767272730078,0.2147099930118798,5805,-0.0017786262849160334,0.2845822566752799,5786,-0.001992251082610079,0.21949533356377463
feat_ret_20:1:LONG:h1,SPOT,feat_ret_20,1,LONG,18682,-0.001901527360075581,-0.002,0.22235306712343433,-57.08866772340859,0.0,False,1,6235,-0.0018779195602582704,0.2041700080192462,6250,-0.0017878102088815927,0.2608,6197,-0.002039969642925889,0.2018718734871712
feat_trend_strength_20:1:LONG:h1,SPOT,feat_trend_strength_20,1,LONG,17122,-0.0019057484331838907,-0.002,0.23256628898493167,-48.57918814382945,0.0,False,1,5750,-0.0018737535421215986,0.21234782608695651,5671,-0.0017919816745699184,0.27190971609945336,5701,-0.0020511864110312884,0.21382213646728643
feat_vol_regime:1:LONG:h1,SPOT,feat_vol_regime,1,LONG,17790,-0.0019061142526248882,-0.002,0.23693086003372682,-50.293920852657585,0.0,False,1,6007,-0.001868064674375101,0.21508240386216082,5835,-0.0018025472885250338,0.27934875749785776,5948,-0.0020461406568059778,0.21738399462004035
feat_ext_vs_ma_20:1:SHORT:h1,SPOT,feat_ext_vs_ma_20,1,SHORT,18714,-0.0019074488290748912,-0.002,0.21283531046275517,-57.970830862167766,0.0,False,1,6484,-0.0019269509739562258,0.19679210363972857,6143,-0.0019868978804924455,0.2371805306853329,6087,-0.0018064947580598417,0.2053556760308855
feat_ret_10:1:SHORT:h1,SPOT,feat_ret_10,1,SHORT,19118,-0.0019083069242669807,-0.002,0.2148237263312062,-57.117281501681184,0.0,False,1,6785,-0.0019340177209507487,0.19749447310243184,6368,-0.001971409930871888,0.24340452261306533,5965,-0.0018116954068219812,0.20402347024308465
feat_trend_slope_20:1:SHORT:h1,SPOT,feat_trend_slope_20,1,SHORT,19096,-0.001910660253693244,-0.002,0.21994134897360704,-57.52956933887025,0.0,False,1,6346,-0.0019159110400675493,0.20658682634730538,6563,-0.0019660151835860953,0.24760018284321195,6187,-0.0018465555348928353,0.20429933732018749
feat_trend_strength_20:0:LONG:h1,SPOT,feat_trend_strength_20,0,LONG,6559,-0.0019196979747302149,-0.002,0.2276261625247751,-33.35872525669295,0.0,False,1,2268,-0.0019593990559779056,0.21472663139329806,2175,-0.001761909463972136,0.25287356321839083,2116,-0.0020393331158592605,0.21550094517958412
feat_atr_norm_ext:1:LONG:h1,SPOT,feat_atr_norm_ext,1,LONG,20615,-0.0019439540473718115,-0.002,0.2350715498423478,-55.9844791668473,0.0,False,1,6910,-0.001873479933661009,0.22257597684515196,6515,-0.001838512830146495,0.2724481964696853,7190,-0.0021072260440289157,0.21321279554937414
feat_ext_vs_ma_10:0:LONG:h2,SPOT,feat_ext_vs_ma_10,0,LONG,5303,-0.0007687498532519304,-0.0013692543008972358,0.3943051103149161,-7.987079315220545,1.3322676295501878e-15,False,2,1782,-0.0014350188049799815,0.3389450056116723,1798,-0.00017382982797233823,0.4382647385984427,1723,-0.0007004822580536245,0.4056877539175856
feat_ret_3:0:LONG:h2,SPOT,feat_ret_3,0,LONG,5936,-0.0008844013707636388,-0.0015128924245403884,0.3810646900269542,-9.487296808270845,0.0,False,2,1930,-0.0012594879802906,0.3404145077720207,2039,-0.0006890821229122778,0.41441883276115743,1967,-0.0007188389864127944,0.3863751906456533
feat_ext_vs_ma_20:0:LONG:h2,SPOT,feat_ext_vs_ma_20,0,LONG,5324,-0.0009250255100506632,-0.001627740490761349,0.36964688204357626,-10.0710087887319,0.0,False,2,1691,-0.0012521633386080692,0.33944411590774687,1838,-0.0005191945228451387,0.4134929270946681,1795,-0.001032394471829594,0.3532033426183844
feat_atr_norm_ext:0:LONG:h2,SPOT,feat_atr_norm_ext,0,LONG,4386,-0.0009734787793828282,-0.002,0.3433652530779754,-11.473190119145274,0.0,False,2,1485,-0.00125084291830232,0.30505050505050507,1660,-0.0006665986892452221,0.3825301204819277,1241,-0.0010520728191354318,0.33682514101531025
feat_ret_5:0:LONG:h2,SPOT,feat_ret_5,0,LONG,5537,-0.0010221876052287943,-0.0016010107727090462,0.37420986093552466,-10.716600369011598,0.0,False,2,1833,-0.001397254372212077,0.3404255319148936,1815,-0.0007301350824767461,0.4071625344352617,1889,-0.0009388514193709912,0.3753308628904182
feat_ret_1:2:SHORT:h2,SPOT,feat_ret_1,2,SHORT,6357,-0.001093408447118882,-0.001568816833390872,0.3698285354727073,-11.259247481119177,0.0,False,2,1920,-0.0009211097359420381,0.36666666666666664,2418,-0.00152389296357049,0.3631100082712986,2019,-0.000741700653498056,0.3808816245666171
feat_ret_10:0:LONG:h2,SPOT,feat_ret_10,0,LONG,5291,-0.001099378286930667,-0.0018455320134901983,0.3568323568323568,-11.95043742619409,0.0,False,2,1758,-0.0017054555260187661,0.32081911262798635,1714,-0.0004037953523021842,0.40373395565927656,1819,-0.00116905688156307,0.3474436503573392
feat_ext_vs_ma_10:2:SHORT:h2,SPOT,feat_ext_vs_ma_10,2,SHORT,4727,-0.0011156994253994862,-0.0015474601199229976,0.37148297017135606,-9.56645985246153,0.0,False,2,1362,-0.001121448163795849,0.38472834067547723,1692,-0.001520364089244624,0.3640661938534279,1673,-0.0007017589634019851,0.3682008368200837
feat_ret_3:2:SHORT:h2,SPOT,feat_ret_3,2,SHORT,5433,-0.001121890071470299,-0.001599198396793667,0.37051352843732743,-10.598799279488588,0.0,False,2,1630,-0.0014885674466764839,0.347239263803681,1977,-0.0013326910081386538,0.3743045017703591,1826,-0.0005663382788200143,0.38718510405257395
feat_ret_1:0:LONG:h2,SPOT,feat_ret_1,0,LONG,7577,-0.0011241515514625628,-0.002,0.3456513131846377,-13.45443639146995,0.0,False,2,2426,-0.001370934909543974,0.3128606760098928,2661,-0.0006752122283300156,0.3900789177001127,2490,-0.0013634813153783078,0.3301204819277108
feat_ret_5:2:SHORT:h2,SPOT,feat_ret_5,2,SHORT,4889,-0.001244407694083425,-0.0016718083360681543,0.36265084884434445,-10.783056140061126,0.0,False,2,1458,-0.001220746599863433,0.3669410150891632,1743,-0.001742666745800239,0.3602983362019507,1688,-0.000750351028343106,0.3613744075829384
feat_atr_norm_ext:2:SHORT:h2,SPOT,feat_atr_norm_ext,2,SHORT,3151,-0.0013653386395260428,-0.002,0.31386861313868614,-10.864539235226271,0.0,False,2,968,-0.0011428642165355186,0.31714876033057854,1193,-0.001570581148340239,0.32103939647946356,990,-0.0013355415975457323,0.302020202020202
feat_ret_10:2:SHORT:h2,SPOT,feat_ret_10,2,SHORT,4373,-0.0013756235530093576,-0.0018808262711863986,0.35033158015092614,-11.519572082380632,0.0,False,2,1167,-0.0013161117094550863,0.36418166238217653,1454,-0.0015530097422425683,0.3528198074277854,1752,-0.0012680498100200576,0.339041095890411
feat_ext_vs_ma_50:2:SHORT:h2,SPOT,feat_ext_vs_ma_50,2,SHORT,3815,-0.001392610158448306,-0.0019690855505863723,0.34442988204456093,-10.109113402937872,0.0,False,2,1180,-0.0013354415697068287,0.3576271186440678,1243,-0.0013474721634216624,0.3475462590506838,1392,-0.0014813784504979193,0.33045977011494254
feat_ext_vs_ma_50:0:LONG:h2,SPOT,feat_ext_vs_ma_50,0,LONG,5327,-0.0014170764045294323,-0.002,0.3303923409048245,-16.517537910822472,0.0,False,2,1807,-0.0014378073992592924,0.31322634200332045,1707,-0.0013412240439354363,0.36203866432337434,1813,-0.001467831546314923,0.3177054605626034
feat_ext_vs_ma_20:2:SHORT:h2,SPOT,feat_ext_vs_ma_20,2,SHORT,4482,-0.0014177913740007157,-0.0018249223089392556,0.3534136546184739,-11.682036537833696,0.0,False,2,1302,-0.001606370516620847,0.3563748079877112,1526,-0.0014795824485729515,0.35910878112712974,1654,-0.001212335978904801,0.34582829504232165
feat_ret_20:0:LONG:h2,SPOT,feat_ret_20,0,LONG,5440,-0.0014387122470852442,-0.002,0.32481617647058825,-16.037524673298133,0.0,False,2,1774,-0.0013553413339090596,0.30721533258173617,1849,-0.0013154960449335076,0.36127636560302867,1817,-0.0016454963735316468,0.30489818381948264
feat_trend_strength_20:2:LONG:h2,SPOT,feat_trend_strength_20,2,LONG,4798,-0.0015029703468330703,-0.002,0.2869945810754481,-15.052447011010242,0.0,False,2,1460,-0.0013142070105786768,0.276027397260274,1633,-0.0014573262373896525,0.34109001837109615,1705,-0.0017083259489753082,0.24457478005865102
feat_trend_slope_20:0:LONG:h2,SPOT,feat_trend_slope_20,0,LONG,5213,-0.0015352746852735403,-0.002,0.3155572606944178,-16.096996035589175,0.0,False,2,1693,-0.0013281292924475138,0.31836975782634375,1752,-0.0010900534842720052,0.3732876712328767,1768,-0.0021748248516814312,0.25565610859728505
feat_vol_regime:2:LONG:h2,SPOT,feat_vol_regime,2,LONG,4966,-0.0016341354373652329,-0.002,0.3058799838904551,-15.183156347687241,0.0,False,2,1877,-0.0014986880133704041,0.29621736814065,1476,-0.0013908585562246003,0.3543360433604336,1613,-0.0020143657482157387,0.2727836329820211
feat_vol_regime:0:SHORT:h2,SPOT,feat_vol_regime,0,SHORT,4516,-0.001641784235599192,-0.002,0.24734278122232065,-19.15407420838885,0.0,False,2,1276,-0.0009406193202345393,0.2829153605015674,1745,-0.0023781848354094024,0.22005730659025788,1495,-0.0013806921856570386,0.24882943143812708
feat_ret_20:2:SHORT:h2,SPOT,feat_ret_20,2,SHORT,4354,-0.0016562124242388016,-0.002,0.32177308222324297,-13.62763566002086,0.0,False,2,1457,-0.0016017950774374521,0.3321894303363075,1375,-0.0017008131200500637,0.3287272727272727,1522,-0.0016680127642841904,0.3055190538764783
feat_trend_slope_20:2:LONG:h2,SPOT,feat_trend_slope_20,2,LONG,4211,-0.0016824041777255589,-0.002,0.2868677273806697,-12.094772149698944,0.0,False,2,1438,-0.0017848035492817453,0.2767732962447844,1192,-0.0014992957112287672,0.32046979865771813,1581,-0.0017273219486087844,0.27071473750790637
