slice_id,kind,feature,state,side,status,validated_at,last_signal_bar,paper_trades,paper_wins,paper_losses,paper_pnl_zar,cooldown_until,mean_ret_costadj,n,p_value,horizon_bars,stop_atr_mult,source,hostile_unproven
feat_ret_20:0:SHORT,SPOT,feat_ret_20,0,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.001282,869,0.000026,6,3.500,validated_walk_forward,False
feat_ret_20:1:SHORT,SPOT,feat_ret_20,1,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.001434,672,0.000368,6,3.500,validated_walk_forward,False
feat_ret_3:1:SHORT,SPOT,feat_ret_3,1,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.001447,875,0.000006,6,3.500,validated_walk_forward,False
feat_ret_5:1:SHORT,SPOT,feat_ret_5,1,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.001474,834,0.000009,6,3.500,validated_walk_forward,False
feat_trend_slope_20:0:SHORT,SPOT,feat_trend_slope_20,0,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.001562,859,0.000000,6,3.406,validated_walk_forward,False
feat_trend_strength_20:1:SHORT,SPOT,feat_trend_strength_20,1,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.001682,739,0.000002,6,3.500,validated_walk_forward,False
feat_ret_1:1:SHORT,SPOT,feat_ret_1,1,SHORT,cooldown,2026-08-15T19:43:55+00:00,1786806000,1,0,1,-4.2350,1786892400,-0.001844,769,0.000000,6,3.210,validated_walk_forward,False
feat_ext_vs_ma_10:1:SHORT,SPOT,feat_ext_vs_ma_10,1,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.001850,798,0.000000,6,3.500,validated_walk_forward,False
feat_trend_strength_20:0:SHORT,SPOT,feat_trend_strength_20,0,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.001875,808,0.000000,6,3.500,validated_walk_forward,False
feat_ext_vs_ma_50:1:SHORT,SPOT,feat_ext_vs_ma_50,1,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.002010,450,0.000002,6,3.500,validated_walk_forward,False
feat_trend_slope_20:1:SHORT,SPOT,feat_trend_slope_20,1,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.002073,666,0.000000,6,3.500,validated_walk_forward,False
feat_atr_norm_ext:1:SHORT,SPOT,feat_atr_norm_ext,1,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.002196,692,0.000000,6,3.500,validated_walk_forward,False
feat_ret_10:1:SHORT,SPOT,feat_ret_10,1,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.002231,813,0.000000,6,3.500,validated_walk_forward,False
feat_ext_vs_ma_20:1:SHORT,SPOT,feat_ext_vs_ma_20,1,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.002455,696,0.000000,6,3.500,validated_walk_forward,False
feat_trend_slope_20:2:SHORT,SPOT,feat_trend_slope_20,2,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.002522,691,0.000000,6,3.500,validated_walk_forward,False
feat_trend_strength_20:2:SHORT,SPOT,feat_trend_strength_20,2,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.002552,669,0.000000,6,3.500,validated_walk_forward,False
feat_realized_vol_20:2:SHORT,SPOT,feat_realized_vol_20,2,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.002745,818,0.000000,6,3.327,validated_walk_forward,False
feat_ret_1:2:SHORT,SPOT,feat_ret_1,2,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.002776,888,0.000000,6,3.500,validated_walk_forward,False
feat_ext_vs_ma_50:2:SHORT,SPOT,feat_ext_vs_ma_50,2,SHORT,cooldown,2026-08-15T19:43:55+00:00,1786802400,3,0,3,-8.9622,1786888800,-0.002821,375,0.000095,6,3.500,validated_walk_forward,False
feat_ret_10:2:SHORT,SPOT,feat_ret_10,2,SHORT,monitored,2026-08-15T19:43:55+00:00,,0,0,0,0,,-0.003102,796,0.000000,6,3.500,validated_walk_forward,False
feat_ret_20:2:SHORT,SPOT,feat_ret_20,2,SHORT,cooldown,2026-08-15T19:43:55+00:00,1786806000,1,0,1,-2.5190,1786892400,-0.003370,636,0.000000,6,3.500,validated_walk_forward,False
