slice_id,kind,feature,state,side,folds,walk_forward_pass_pattern,walk_forward_pass_count,fold_mean_rets,fold_sizes,n,mean_ret_costadj,p_value,validated,required_passes,latest_fold_passes,temporal_pass,direction_ok,breadth_ok,breadth_symbols_used,breadth_positive_fraction,breadth_scope,breadth_class_symbols,recency_ok,mean_positive,side_train,fail_reasons,horizon_bars,stop_atr_mult,hostile_n,hostile_mean_ret,regime_confounded,hostile_unproven,session_asia_n,session_asia_mean_ret_costadj,session_asia_hit_rate,session_eu_n,session_eu_mean_ret_costadj,session_eu_hit_rate,session_us_n,session_us_mean_ret_costadj,session_us_hit_rate
feat_close_pos_ma:2:LONG:h12,SPOT,feat_close_pos_ma,2,LONG,5,10001,2,"0.060926,-0.005136,-0.001941,-0.008342,0.004653","191,200,203,219,243",1082,0.008861050449897573,0.31222038727625057,True,2,True,True,True,True,6,0.6666666666666666,symbol,0,True,True,LONG,,12,3.5,181,0.005655090499670547,False,False,272,0.007361702538873634,0.5404411764705882,387,0.008694978301452091,0.6020671834625323,423,0.0024669878505286288,0.42789598108747046
feat_time_since_low_20:2:LONG:h12,PERP,feat_time_since_low_20,2,LONG,5,10101,3,"0.024091,-0.011367,0.005604,-0.006144,0.015498","926,146,171,98,202",1543,0.015641644637744544,7.047765095125058e-05,True,2,True,True,True,True,20,0.95,symbol,0,True,True,LONG,,12,3.5,197,0.0074751913459116925,False,False,464,0.025741107907472718,0.7866379310344828,505,0.022801220127482237,0.700990099009901,574,0.016375540409147675,0.6393728222996515
feat_range_pos_50:2:LONG:h12,PERP,feat_range_pos_50,2,LONG,5,10001,2,"0.018066,-0.011056,-0.000549,-0.011242,0.017084","2796,1032,2416,908,2299",9456,0.007085534784401981,2.6267897457188383e-07,True,2,True,True,True,True,39,0.8717948717948718,symbol,0,True,True,LONG,,12,3.5,113,0.0033984787029570345,False,False,3039,0.008017254926140048,0.5478775913129319,3079,0.013934432206147304,0.6031178954205911,3338,0.008224870435778242,0.5023966446974236
feat_vwap_upper_dist:2:LONG:h12,PERP,feat_vwap_upper_dist,2,LONG,5,10101,3,"0.015498,-0.004809,0.004728,-0.009999,0.015707","3357,1771,2507,1433,2592",11669,0.0070060952148670525,1.6058002993979414e-07,True,2,True,True,True,True,39,0.8974358974358975,symbol,0,True,True,LONG,,12,3.5,934,0.00967527446796153,False,False,3660,0.010358110834028636,0.6032786885245902,3952,0.013665992088338743,0.6082995951417004,4057,0.0066405739763549035,0.5089967956618191
feat_ext_vs_ma_20:2:LONG:h12,PERP,feat_ext_vs_ma_20,2,LONG,5,10101,3,"0.015985,-0.004986,0.004040,-0.011906,0.016575","3259,1712,2387,1394,2515",11277,0.00694473318450272,1.3690604205862655e-09,True,2,True,True,True,True,39,0.8461538461538461,symbol,0,True,True,LONG,,12,3.5,723,0.009030198368760114,False,False,3507,0.010539625223564063,0.6130595950955232,3705,0.013863525474977711,0.6026990553306343,4065,0.006614668831561708,0.5018450184501845
feat_ret_20:2:LONG:h12,PERP,feat_ret_20,2,LONG,5,10101,3,"0.016546,-0.005478,0.000827,-0.008566,0.017808","3430,1617,2495,1418,2430",11396,0.007117651585219391,0.0,True,2,True,True,True,True,39,0.8717948717948718,symbol,0,True,True,LONG,,12,3.5,544,0.008538768853051349,False,False,3719,0.008881727737056368,0.5773057273460608,3642,0.01417233143334179,0.6199890170236134,4035,0.00751150163227641,0.5117719950433705
feat_ext_vs_ma_50:2:LONG:h12,PERP,feat_ext_vs_ma_50,2,LONG,5,10001,2,"0.015091,-0.007634,-0.000780,-0.010790,0.017092","3393,1204,2588,1219,2308",10721,0.006202516970821457,8.555092924744656e-06,True,2,True,True,True,True,39,0.8717948717948718,symbol,0,True,True,LONG,,12,3.5,18,0.00756933992789507,False,True,3362,0.008243888784453406,0.5392623438429506,3593,0.01055677044617348,0.5647091566935708,3766,0.007399775972035944,0.4970791290493893
feat_mean_rev_strength:0:LONG:h12,PERP,feat_mean_rev_strength,0,LONG,5,10101,3,"0.017359,-0.005262,0.004956,-0.012771,0.016882","2894,1600,2210,1205,2458",10375,0.007599891577320162,3.2156943774452884e-11,True,2,True,True,True,True,39,0.8717948717948718,symbol,0,True,True,LONG,,12,3.5,708,0.008900691221444882,False,False,3197,0.01161794457495505,0.6312167657178605,3420,0.014781176782516935,0.6114035087719298,3758,0.007251856831243547,0.5055880787653007
feat_bb_pos_20:2:LONG:h12,PERP,feat_bb_pos_20,2,LONG,5,10101,3,"0.015653,-0.005937,0.005359,-0.012216,0.016628","2801,1689,2218,1313,2417",10446,0.006693516431504673,2.788176356460781e-09,True,2,True,True,True,True,39,0.7948717948717948,symbol,0,True,True,LONG,,12,3.5,825,0.008721267214753326,False,False,3224,0.01097684260620062,0.6281017369727047,3484,0.013091724411524201,0.5950057405281286,3738,0.007066444179647274,0.5034777956126271
feat_vol_breakout:2:LONG:h12,PERP,feat_vol_breakout,2,LONG,5,10101,3,"0.015970,-0.002141,0.001983,-0.011110,0.015610","3313,1828,2455,1464,2527",11609,0.0065891506301659205,0.0014103121499751126,True,2,True,True,True,True,40,0.85,symbol,0,True,True,LONG,,12,3.5,826,0.0073448785813443615,False,False,3467,0.010249043033032961,0.6080184597634842,3968,0.013202487174984186,0.5922379032258065,4174,0.0064513962284753895,0.4918543363679923
feat_zscore_20:2:LONG:h12,PERP,feat_zscore_20,2,LONG,5,10101,3,"0.015653,-0.005937,0.005359,-0.012216,0.016628","2801,1689,2218,1313,2417",10446,0.006693516431504673,2.788176356460781e-09,True,2,True,True,True,True,39,0.7948717948717948,symbol,0,True,True,LONG,,12,3.5,825,0.008721267214753326,False,False,3224,0.01097684260620062,0.6281017369727047,3484,0.013091724411524201,0.5950057405281286,3738,0.007066444179647274,0.5034777956126271
feat_cci_20:2:LONG:h12,PERP,feat_cci_20,2,LONG,5,10101,3,"0.017494,-0.005536,0.006308,-0.010839,0.017384","2648,1551,2137,1355,2292",9996,0.007615359397771486,5.3721471715562075e-12,True,2,True,True,True,True,39,0.8717948717948718,symbol,0,True,True,LONG,,12,3.5,653,0.011330073430199608,False,False,3139,0.011467709983027331,0.6247212488053521,3310,0.015249812460284208,0.6099697885196375,3547,0.007259629649365884,0.4981674654637722
feat_trend_slope_20:2:LONG:h12,PERP,feat_trend_slope_20,2,LONG,5,10101,3,"0.018015,-0.003293,0.002573,-0.007078,0.018175","3329,1664,2425,1430,2421",11277,0.00840113501341619,0.0,True,2,True,True,True,True,39,0.8974358974358975,symbol,0,True,True,LONG,,12,3.5,645,0.007971523056266765,False,False,3655,0.010943755733309109,0.5953488372093023,3451,0.015650435003863743,0.6334395827296436,4171,0.008082583459496404,0.510668904339487
feat_donchian_break:2:LONG:h12,PERP,feat_donchian_break,2,LONG,5,10101,3,"0.016238,-0.006055,0.004630,-0.010761,0.016659","2609,1821,2283,1265,2486",10471,0.006660699459675606,1.0724754417879012e-13,True,2,True,True,True,True,39,0.8974358974358975,symbol,0,True,True,LONG,,12,3.5,1071,0.010446976113220449,False,False,3255,0.010593779980529409,0.6199692780337942,3481,0.013469213986243666,0.5981039931054295,3735,0.006690938319126687,0.4995983935742972
feat_range_pos_20:2:LONG:h12,PERP,feat_range_pos_20,2,LONG,5,10101,3,"0.015431,-0.006168,0.004148,-0.012406,0.016619","2783,1578,2229,1155,2464",10215,0.006772308422739757,3.388267444393023e-11,True,2,True,True,True,True,39,0.8205128205128205,symbol,0,True,True,LONG,,12,3.5,885,0.010059306656396098,False,False,3213,0.010783068655848048,0.6258948023653906,3421,0.014037582116779673,0.6050862320958784,3581,0.0059399822838113086,0.5006981290142418
feat_vwap_dist:2:LONG:h12,PERP,feat_vwap_dist,2,LONG,5,10101,3,"0.015379,-0.005093,0.004055,-0.011274,0.016113","3147,1664,2434,1308,2531",11093,0.006839592869621917,4.5116133051692486e-10,True,2,True,True,True,True,39,0.8205128205128205,symbol,0,True,True,LONG,,12,3.5,887,0.008577550444097288,False,False,3483,0.010662166729711008,0.6149870801033591,3669,0.013794943389429918,0.6075224856909239,3941,0.006040874195707514,0.5057092108601877
feat_ext_strength:2:LONG:h12,PERP,feat_ext_strength,2,LONG,5,10101,3,"0.017197,-0.001458,0.001674,-0.010567,0.016514","3228,1732,2541,1399,2528",11452,0.007301972887140966,7.3295558529196114e-06,True,2,True,True,True,True,40,0.85,symbol,0,True,True,LONG,,12,3.5,790,0.008468949679468133,False,False,3563,0.00996120464556164,0.6006174571989896,3646,0.01501704096680318,0.6149204607789358,4243,0.007101075352036204,0.5003535234503889
feat_rsi_21:2:LONG:h12,PERP,feat_rsi_21,2,LONG,5,10101,3,"0.015787,-0.003711,0.000420,-0.011406,0.015940","3228,1525,2384,1288,2526",10976,0.006510839510278275,0.00012533104290390895,True,2,True,True,True,True,40,0.8,symbol,0,True,True,LONG,,12,3.5,505,0.007631755528197371,False,False,3416,0.009413368453971642,0.6018735362997658,3649,0.013047564985845363,0.591394902713072,3911,0.0070870525004471515,0.5011506008693429
feat_ema_cross_10_20:2:LONG:h12,PERP,feat_ema_cross_10_20,2,LONG,5,10001,2,"0.016237,-0.002279,-0.002673,-0.007127,0.017085","3630,1573,2565,1540,2472",11807,0.006708538083247137,1.9006643814378776e-08,True,2,True,True,True,True,40,0.875,symbol,0,True,True,LONG,,12,3.5,243,0.003850713949262872,False,False,3683,0.009510109154663287,0.5674721694270974,3826,0.01296404743353305,0.5969681129116571,4298,0.006858095165374224,0.49464867380176825
feat_ret_vol:2:LONG:h12,PERP,feat_ret_vol,2,LONG,5,10001,2,"0.015476,-0.001245,-0.001687,-0.007077,0.017336","3581,1860,2670,1700,2593",12428,0.00651229803893465,1.0384528792428682e-09,True,2,True,True,True,True,40,0.85,symbol,0,True,True,LONG,,12,3.5,749,0.006017778755506947,False,False,4053,0.008676894870646814,0.5731556871453245,3926,0.012904029361226137,0.6031584309730005,4449,0.006628595124770496,0.49921330636098
feat_macd_12_26:2:LONG:h12,PERP,feat_macd_12_26,2,LONG,5,10001,2,"0.015994,-0.003885,-0.002706,-0.006016,0.016599","3836,1687,2681,1689,2458",12379,0.006266353064411608,1.1467503613360464e-08,True,2,True,True,True,True,40,0.9,symbol,0,True,True,LONG,,12,3.5,189,0.0004115395847142683,False,False,3877,0.008909545393173271,0.5496517926231622,4024,0.012109127211110455,0.5862326043737575,4478,0.006431061053464777,0.4903974988834301
feat_keltner_pos:2:LONG:h12,PERP,feat_keltner_pos,2,LONG,5,10101,3,"0.016567,-0.005956,0.002781,-0.012903,0.016125","2985,1462,2252,1253,2452",10412,0.006748670276706099,0.06091943431238467,True,2,True,True,True,True,40,0.775,symbol,0,True,True,LONG,,12,3.5,466,0.008682108217176576,False,False,3241,0.010030711988517032,0.6103054612773835,3580,0.012757621116484201,0.5860335195530726,3591,0.007660619139490443,0.5093288777499304
feat_vol_trend:2:LONG:h12,PERP,feat_vol_trend,2,LONG,5,11101,4,"0.017372,0.000042,0.000126,-0.005860,0.016818","3512,1854,2671,1664,2576",12303,0.0076705368300742805,3.3306690738754696e-14,True,2,True,True,True,True,40,0.9,symbol,0,True,True,LONG,,12,3.5,878,0.005606353114316359,False,False,4007,0.010359122545348995,0.5864736710756177,3749,0.014581900049584793,0.6214990664177114,4547,0.0073278480403774215,0.5036287662194854
feat_ret_10:2:LONG:h12,PERP,feat_ret_10,2,LONG,5,10101,3,"0.013890,-0.004521,0.006253,-0.011509,0.014403","3082,1839,2342,1566,2371",11214,0.005753214620588153,0.19914214421110232,True,2,True,True,True,True,40,0.825,symbol,0,True,True,LONG,,12,3.5,1053,0.009887042038852671,False,False,3328,0.010411182895183686,0.6102764423076923,3870,0.012397904700081076,0.5881136950904393,4016,0.004964727481748638,0.49203187250996017
