intensity,old_cap,fat_cap,total_native,hip3_seats,med_all10_day,med_native_rts,med_hip3_rts,med_min_slice_rts,med_peak_risk,sum_seat_denials,sum_risk_denials
100.0,3,10,13,0,35.65,177.0,0.0,10.0,78.0,2584197,0
100.0,3,10,13,2,33.88,178.5,104.0,10.5,90.0,2523889,0
100.0,3,10,13,4,36.0,180.5,209.0,10.0,102.0,2457428,0
100.0,3,10,13,6,33.02,176.0,312.0,10.5,104.98,2387453,9289
100.0,5,10,15,0,20.77,279.5,0.0,18.0,90.0,2558191,0
100.0,5,10,15,2,22.02,280.0,104.0,18.0,102.0,2496363,0
100.0,5,10,15,4,22.58,279.0,208.0,18.0,104.98,2423467,10796
100.0,5,10,15,6,22.25,277.5,309.5,18.0,104.98,2353517,18034
100.0,8,10,18,0,13.79,433.5,0.0,31.0,104.98,2518221,2518
100.0,8,10,18,2,14.77,431.0,102.5,30.0,104.98,2441264,16319
100.0,8,10,18,4,15.12,430.0,207.0,30.5,104.98,2372425,25516
100.0,8,10,18,6,14.38,431.0,310.5,29.0,104.98,2299656,33444
100.0,12,10,22,0,10.75,631.0,0.0,47.0,104.98,2443611,22610
100.0,12,10,22,2,10.9,631.5,103.0,46.0,104.98,2375585,31078
100.0,12,10,22,4,10.77,628.5,208.0,44.5,104.98,2299233,45724
100.0,12,10,22,6,10.83,629.0,305.5,46.0,104.98,2185413,101318
100.0,15,10,25,0,8.92,789.0,0.0,59.0,104.98,2398758,30701
100.0,15,10,25,2,8.88,782.5,102.5,58.0,104.98,2308363,58367
100.0,15,10,25,4,9.42,769.5,185.5,58.0,104.98,1748611,572409
100.0,15,10,25,6,9.69,755.0,206.0,56.0,104.98,1309058,1001324
196.8,3,10,13,0,34.38,178.0,0.0,11.0,78.0,3497967,0
196.8,3,10,13,2,33.75,178.0,104.5,10.0,90.0,3413166,0
196.8,3,10,13,4,34.48,178.0,207.0,10.0,102.0,3329927,0
196.8,3,10,13,6,34.88,176.0,311.5,10.0,104.98,3234824,11742
196.8,5,10,15,0,21.9,280.0,0.0,18.0,90.0,3463584,0
196.8,5,10,15,2,21.88,279.0,103.0,18.0,102.0,3379059,0
196.8,5,10,15,4,21.33,277.0,208.0,18.0,104.98,3282966,12415
196.8,5,10,15,6,22.62,277.5,310.0,18.0,104.98,3184224,29595
196.8,8,10,18,0,14.38,434.0,0.0,29.0,104.98,3407653,3448
196.8,8,10,18,2,14.33,429.5,102.0,29.0,104.98,3305847,21377
196.8,8,10,18,4,14.5,429.5,208.0,30.0,104.98,3211137,36577
196.8,8,10,18,6,14.5,428.0,311.0,29.5,104.98,3119384,46032
196.8,12,10,22,0,10.33,637.0,0.0,45.0,104.98,3307008,35153
196.8,12,10,22,2,10.42,633.5,104.5,45.0,104.98,3216965,44936
196.8,12,10,22,4,10.79,630.5,208.0,46.5,104.98,3123127,61652
196.8,12,10,22,6,10.81,630.0,305.0,46.0,104.98,2973133,133074
196.8,15,10,25,0,9.0,784.5,0.0,58.0,104.98,3242168,51967
196.8,15,10,25,2,9.02,782.0,102.5,58.5,104.98,3146577,68063
196.8,15,10,25,4,9.54,769.5,186.0,57.0,104.98,2365902,786950
196.8,15,10,25,6,9.92,754.0,211.0,57.0,104.99,1777905,1358419
300.0,3,10,13,0,33.94,178.5,0.0,10.0,78.0,3532114,0
300.0,3,10,13,2,33.06,179.0,103.5,11.0,90.0,3448230,0
300.0,3,10,13,4,36.0,177.5,208.0,10.0,102.0,3363149,0
300.0,3,10,13,6,36.0,176.0,311.0,10.0,104.98,3267378,11206
300.0,5,10,15,0,21.85,279.0,0.0,19.0,90.0,3497987,0
300.0,5,10,15,2,21.62,279.5,104.0,18.0,102.0,3412996,0
300.0,5,10,15,4,20.94,278.0,207.5,18.0,104.98,3313927,14260
300.0,5,10,15,6,21.58,278.5,312.0,18.0,104.98,3219691,25565
300.0,8,10,18,0,14.65,431.0,0.0,31.0,104.98,3441844,3521
300.0,8,10,18,2,14.42,433.5,104.0,30.5,104.98,3338305,22785
300.0,8,10,18,4,13.85,428.5,209.0,30.0,104.98,3251273,28010
300.0,8,10,18,6,14.79,430.0,311.0,30.0,104.98,3151310,45353
300.0,12,10,22,0,10.23,635.5,0.0,47.0,104.98,3342935,32831
300.0,12,10,22,2,10.42,633.0,104.0,45.5,104.98,3252608,42033
300.0,12,10,22,4,10.19,631.5,208.0,46.0,104.98,3157855,57244
300.0,12,10,22,6,10.44,631.0,304.5,47.0,104.98,2995468,141230
300.0,15,10,25,0,9.0,784.0,0.0,59.0,104.98,3278075,47855
300.0,15,10,25,2,9.56,776.5,104.0,59.0,104.98,3168061,76412
300.0,15,10,25,4,9.31,768.5,188.0,58.0,104.98,2404958,780768
300.0,15,10,25,6,9.46,756.5,212.5,55.0,104.99,1797171,1368179
