intensity,risk_cap_fraction,old_cap,fat_cap,total_native,hip3_seats,med_all10_day,med_native_rts,med_hip3_rts,med_min_slice_rts,med_peak_risk,sum_seat_denials,sum_risk_denials
100.0,0.05,3,10,13,0,34.27,178.0,0.0,11.0,78.0,1940960,0
100.0,0.07,3,10,13,0,34.81,175.5,0.0,10.0,78.0,1940149,0
100.0,0.1,3,10,13,0,35.4,177.0,0.0,10.0,78.0,1939410,0
100.0,0.15,3,10,13,0,35.12,176.5,0.0,10.0,78.0,1939647,0
100.0,0.05,3,10,13,2,34.0,176.0,105.5,10.5,90.0,1890507,0
100.0,0.07,3,10,13,2,33.44,176.0,105.0,11.0,90.0,1893101,0
100.0,0.1,3,10,13,2,34.4,175.5,105.0,10.0,90.0,1891979,0
100.0,0.15,3,10,13,2,32.42,177.0,103.0,11.0,90.0,1892584,0
100.0,0.05,3,10,13,4,32.38,178.5,207.5,11.0,102.0,1843769,0
100.0,0.07,3,10,13,4,35.35,176.0,210.0,10.0,102.0,1843706,0
100.0,0.1,3,10,13,4,34.46,177.0,207.5,10.0,102.0,1843654,0
100.0,0.15,3,10,13,4,33.58,179.5,207.5,10.0,102.0,1845623,0
100.0,0.05,3,10,13,6,34.96,177.0,311.0,10.0,104.98,1790328,7122
100.0,0.07,3,10,13,6,35.19,178.0,311.5,10.0,114.0,1796823,0
100.0,0.1,3,10,13,6,35.02,177.0,311.5,10.0,114.0,1798869,0
100.0,0.15,3,10,13,6,35.79,177.0,312.0,9.5,114.0,1798750,0
100.0,0.05,5,10,15,0,22.19,280.5,0.0,18.0,90.0,1919620,0
100.0,0.07,5,10,15,0,21.67,279.5,0.0,18.0,90.0,1918137,0
100.0,0.1,5,10,15,0,21.54,281.0,0.0,18.0,90.0,1919178,0
100.0,0.15,5,10,15,0,21.25,278.5,0.0,17.5,90.0,1917263,0
100.0,0.05,5,10,15,2,20.98,282.5,104.0,18.0,102.0,1871039,0
100.0,0.07,5,10,15,2,21.6,278.5,104.0,18.5,102.0,1873240,0
100.0,0.1,5,10,15,2,22.25,281.0,107.0,18.0,102.0,1872685,0
100.0,0.15,5,10,15,2,21.65,281.0,104.0,18.5,102.0,1871162,0
100.0,0.05,5,10,15,4,22.25,279.5,211.5,17.0,104.98,1817647,6811
100.0,0.07,5,10,15,4,21.33,279.0,209.5,18.5,114.0,1825319,0
100.0,0.1,5,10,15,4,21.56,282.0,207.0,17.5,114.0,1824455,0
100.0,0.15,5,10,15,4,20.29,284.5,207.5,19.0,114.0,1826336,0
100.0,0.05,5,10,15,6,21.08,279.5,311.0,17.5,104.98,1761620,14902
100.0,0.07,5,10,15,6,21.15,280.0,313.0,19.0,126.0,1776906,0
100.0,0.1,5,10,15,6,21.5,279.5,310.5,18.0,126.0,1778471,0
100.0,0.15,5,10,15,6,21.29,279.0,312.0,19.0,126.0,1779987,0
100.0,0.05,8,10,18,0,14.65,435.0,0.0,30.0,104.98,1885089,2660
