symbol,kind,base,quote,active,liquidity_rank,quote_volume,mark_price,max_leverage,min_notional,min_margin,as_of,venue
BTCUSDC,PERP,BTC,USDC,True,1,2799064750.5084447861,77430.0,40,10,0.25,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
ETHUSDC,PERP,ETH,USDC,True,2,1846515884.7493686676,2489.9,25,10,0.4,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
HYPEUSDC,PERP,HYPE,USDC,True,3,417609110.0821701884,79.397,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
ZECUSDC,PERP,ZEC,USDC,True,4,390367467.0189990401,1149.2,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
SOLUSDC,PERP,SOL,USDC,True,5,221911023.2618999481,101.12,20,10,0.5,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
XRPUSDC,PERP,XRP,USDC,True,6,151216390.3051000834,1.4042,20,10,0.5,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
PONSUSDC,PERP,PONS,USDC,True,7,51861012.2482499629,0.61876,3,10,3.333333333333333333333333333,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
LITUSDC,PERP,LIT,USDC,True,8,45748532.0729000345,4.3763,5,10,2,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
NEARUSDC,PERP,NEAR,USDC,True,9,43842170.5001100227,2.4087,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
PUMPUSDC,PERP,PUMP,USDC,True,10,38822659.9430470541,0.003594,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
UNIUSDC,PERP,UNI,USDC,True,11,31651228.943050012,6.6514,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
BNBUSDC,PERP,BNB,USDC,True,12,18755588.8202099986,720.08,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
ENAUSDC,PERP,ENA,USDC,True,13,17336101.6368199736,0.1411,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
VVVUSDC,PERP,VVV,USDC,True,14,16616514.1085899938,22.0059,3,10,3.333333333333333333333333333,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
ARBUSDC,PERP,ARB,USDC,True,15,16510596.8947559968,0.13357,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
KPEPEUSDC,PERP,KPEPE,USDC,True,16,15058415.4588999897,0.0034,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
CASHCATUSDC,PERP,CASHCAT,USDC,True,17,14530467.07663,0.15561,3,10,3.333333333333333333333333333,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
XMRUSDC,PERP,XMR,USDC,True,18,13930428.2812900078,512.0,5,10,2,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
WLDUSDC,PERP,WLD,USDC,True,19,12219838.2100800015,0.37429,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
DOGEUSDC,PERP,DOGE,USDC,True,20,10573011.548246989,0.082909,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
SUIUSDC,PERP,SUI,USDC,True,21,10478325.854975,0.7094,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
FILUSDC,PERP,FIL,USDC,True,22,9180114.1331690103,0.88892,5,10,2,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
LINKUSDC,PERP,LINK,USDC,True,23,8241855.7496999996,11.444,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
ETHFIUSDC,PERP,ETHFI,USDC,True,24,8000133.1960470006,0.6122,5,10,2,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
TAOUSDC,PERP,TAO,USDC,True,25,7390560.2441000026,231.56,5,10,2,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
TRUMPUSDC,PERP,TRUMP,USDC,True,26,6854458.8447100017,1.9622,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
XPLUSDC,PERP,XPL,USDC,True,27,6225375.4133030036,0.081864,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
USELESSUSDC,PERP,USELESS,USDC,True,28,6090576.7087600017,0.20133,3,10,3.333333333333333333333333333,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
AAVEUSDC,PERP,AAVE,USDC,True,29,5960267.2891999986,127.27,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
PENDLEUSDC,PERP,PENDLE,USDC,True,30,5957897.7184999967,2.35898,5,10,2,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
ADAUSDC,PERP,ADA,USDC,True,31,5404470.7110700011,0.20509,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
XLMUSDC,PERP,XLM,USDC,True,32,5278711.5022999989,0.19334,5,10,2,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
FARTCOINUSDC,PERP,FARTCOIN,USDC,True,33,5275142.3181720013,0.14155,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
AVAXUSDC,PERP,AVAX,USDC,True,34,4758176.3332610009,7.508,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
CRVUSDC,PERP,CRV,USDC,True,35,4719096.5651830034,0.35304,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
ONDOUSDC,PERP,ONDO,USDC,True,36,4699512.9079100015,0.35071,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
LTCUSDC,PERP,LTC,USDC,True,37,3812728.6939899973,52.794,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
PAXGUSDC,PERP,PAXG,USDC,True,38,3589646.3938999991,4290.3,10,10,1,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
CHIPUSDC,PERP,CHIP,USDC,True,39,3326525.1660549981,0.040916,3,10,3.333333333333333333333333333,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
REZUSDC,PERP,REZ,USDC,True,40,3012346.7937280019,0.003913,3,10,3.333333333333333333333333333,2026-09-15T06:24:56.991722+00:00,HYPERLIQUID
